site,meas_name,ts,sensor,meas_val_f
TAEFC1044741,ac_power,2016-03-05 19:45:00,1913110809_SMA-SB-7000TL-US-22,2.8154
TAEFC1044741,ac_power,2016-03-05 19:50:00,1913110809_SMA-SB-7000TL-US-22,2.4352
TAEFC1044741,ac_power,2016-03-05 19:55:00,1913110809_SMA-SB-7000TL-US-22,1.8635
TAEFC1044741,ac_power,2016-03-05 20:00:00,1913110809_SMA-SB-7000TL-US-22,2.5758
TAEFC1044741,ac_power,2016-03-05 20:05:00,1913110809_SMA-SB-7000TL-US-22,3.1268
TAEFC1044741,ac_power,2016-03-05 20:10:00,1913110809_SMA-SB-7000TL-US-22,2.6642
TAEFC1044741,ac_power,2016-03-05 20:15:00,1913110809_SMA-SB-7000TL-US-22,2.2482
TAEFC1044741,ac_power,2016-03-05 20:20:00,1913110809_SMA-SB-7000TL-US-22,1.801
TAEFC1044741,ac_power,2016-03-05 20:25:00,1913110809_SMA-SB-7000TL-US-22,1.8356
TAEFC1044741,ac_power,2016-03-05 20:30:00,1913110809_SMA-SB-7000TL-US-22,3.0791
TAEFC1044741,ac_power,2016-03-05 20:35:00,1913110809_SMA-SB-7000TL-US-22,2.0879
TAEFC1044741,ac_power,2016-03-05 20:40:00,1913110809_SMA-SB-7000TL-US-22,1.3889
TAEFC1044741,ac_power,2016-03-05 20:45:00,1913110809_SMA-SB-7000TL-US-22,0.9538
TAEFC1044741,ac_power,2016-03-05 20:50:00,1913110809_SMA-SB-7000TL-US-22,0.7718
TAEFC1044741,ac_power,2016-03-05 20:55:00,1913110809_SMA-SB-7000TL-US-22,1.2235
TAEFC1044741,ac_power,2016-03-05 21:00:00,1913110809_SMA-SB-7000TL-US-22,1.582
TAEFC1044741,ac_power,2016-03-05 21:05:00,1913110809_SMA-SB-7000TL-US-22,2.3184
TAEFC1044741,ac_power,2016-03-05 21:10:00,1913110809_SMA-SB-7000TL-US-22,1.9014
TAEFC1044741,ac_power,2016-03-05 21:15:00,1913110809_SMA-SB-7000TL-US-22,2.3956
TAEFC1044741,ac_power,2016-03-05 21:20:00,1913110809_SMA-SB-7000TL-US-22,4.0359
TAEFC1044741,ac_power,2016-03-05 21:25:00,1913110809_SMA-SB-7000TL-US-22,3.5336
TAEFC1044741,ac_power,2016-03-05 21:30:00,1913110809_SMA-SB-7000TL-US-22,2.7444
TAEFC1044741,ac_power,2016-03-05 21:35:00,1913110809_SMA-SB-7000TL-US-22,1.8358
TAEFC1044741,ac_power,2016-03-05 21:40:00,1913110809_SMA-SB-7000TL-US-22,2.6261
TAEFC1044741,ac_power,2016-03-05 21:45:00,1913110809_SMA-SB-7000TL-US-22,1.8956
TAEFC1044741,ac_power,2016-03-05 21:50:00,1913110809_SMA-SB-7000TL-US-22,2.4678
TAEFC1044741,ac_power,2016-03-05 21:55:00,1913110809_SMA-SB-7000TL-US-22,2.5401
TAEFC1044741,ac_power,2016-03-05 22:00:00,1913110809_SMA-SB-7000TL-US-22,2.0968
TAEFC1044741,ac_power,2016-03-05 22:05:00,1913110809_SMA-SB-7000TL-US-22,1.9196
TAEFC1044741,ac_power,2016-03-05 22:10:00,1913110809_SMA-SB-7000TL-US-22,2.1397
TAEFC1044741,ac_power,2016-03-05 22:15:00,1913110809_SMA-SB-7000TL-US-22,1.8093
TAEFC1044741,ac_power,2016-03-05 22:20:00,1913110809_SMA-SB-7000TL-US-22,1.9739
TAEFC1044741,ac_power,2016-03-05 22:25:00,1913110809_SMA-SB-7000TL-US-22,2.2602
TAEFC1044741,ac_power,2016-03-05 22:30:00,1913110809_SMA-SB-7000TL-US-22,2.3796
TAEFC1044741,ac_power,2016-03-05 22:35:00,1913110809_SMA-SB-7000TL-US-22,2.2839
TAEFC1044741,ac_power,2016-03-05 22:40:00,1913110809_SMA-SB-7000TL-US-22,1.7139
TAEFC1044741,ac_power,2016-03-05 22:45:00,1913110809_SMA-SB-7000TL-US-22,1.6964
TAEFC1044741,ac_power,2016-03-05 22:50:00,1913110809_SMA-SB-7000TL-US-22,1.3652
TAEFC1044741,ac_power,2016-03-05 22:55:00,1913110809_SMA-SB-7000TL-US-22,1.4362
TAEFC1044741,ac_power,2016-03-05 23:00:00,1913110809_SMA-SB-7000TL-US-22,1.3463
TAEFC1044741,ac_power,2016-03-05 23:05:00,1913110809_SMA-SB-7000TL-US-22,1.4776
TAEFC1044741,ac_power,2016-03-05 23:10:00,1913110809_SMA-SB-7000TL-US-22,1.6655
TAEFC1044741,ac_power,2016-03-05 23:15:00,1913110809_SMA-SB-7000TL-US-22,1.3139
TAEFC1044741,ac_power,2016-03-05 23:20:00,1913110809_SMA-SB-7000TL-US-22,1.3899
TAEFC1044741,ac_power,2016-03-05 23:25:00,1913110809_SMA-SB-7000TL-US-22,1.6005
TAEFC1044741,ac_power,2016-03-05 23:30:00,1913110809_SMA-SB-7000TL-US-22,1.2432
TAEFC1044741,ac_power,2016-03-05 23:35:00,1913110809_SMA-SB-7000TL-US-22,1.1652
TAEFC1044741,ac_power,2016-03-05 23:40:00,1913110809_SMA-SB-7000TL-US-22,0.8705
TAEFC1044741,ac_power,2016-03-05 23:45:00,1913110809_SMA-SB-7000TL-US-22,0.9379
TAEFC1044741,ac_power,2016-03-05 23:50:00,1913110809_SMA-SB-7000TL-US-22,0.8159
TAEFC1044741,ac_power,2016-03-05 23:55:00,1913110809_SMA-SB-7000TL-US-22,0.893
TAEFC1044741,ac_power,2016-03-06 00:00:00,1913110809_SMA-SB-7000TL-US-22,0.7035
TAEFC1044741,ac_power,2016-03-06 00:05:00,1913110809_SMA-SB-7000TL-US-22,0.5168
TAEFC1044741,ac_power,2016-03-06 00:10:00,1913110809_SMA-SB-7000TL-US-22,0.4845
TAEFC1044741,ac_power,2016-03-06 00:15:00,1913110809_SMA-SB-7000TL-US-22,0.4571
TAEFC1044741,ac_power,2016-03-06 00:20:00,1913110809_SMA-SB-7000TL-US-22,0.4587
TAEFC1044741,ac_power,2016-03-06 00:25:00,1913110809_SMA-SB-7000TL-US-22,0.4408
TAEFC1044741,ac_power,2016-03-06 00:30:00,1913110809_SMA-SB-7000TL-US-22,0.4223
TAEFC1044741,ac_power,2016-03-06 00:35:00,1913110809_SMA-SB-7000TL-US-22,0.3893
TAEFC1044741,ac_power,2016-03-06 00:40:00,1913110809_SMA-SB-7000TL-US-22,0.3634
TAEFC1044741,ac_power,2016-03-06 00:45:00,1913110809_SMA-SB-7000TL-US-22,0.3378
TAEFC1044741,ac_power,2016-03-06 00:50:00,1913110809_SMA-SB-7000TL-US-22,0.2836
TAEFC1044741,ac_power,2016-03-06 00:55:00,1913110809_SMA-SB-7000TL-US-22,0.2603
TAEFC1044741,ac_power,2016-03-06 01:00:00,1913110809_SMA-SB-7000TL-US-22,0.2202
TAEFC1044741,ac_power,2016-03-06 01:05:00,1913110809_SMA-SB-7000TL-US-22,0.2144
TAEFC1044741,ac_power,2016-03-06 01:10:00,1913110809_SMA-SB-7000TL-US-22,0.2273
TAEFC1044741,ac_power,2016-03-06 01:15:00,1913110809_SMA-SB-7000TL-US-22,0.2198
TAEFC1044741,ac_power,2016-03-06 01:20:00,1913110809_SMA-SB-7000TL-US-22,0.1597
TAEFC1044741,ac_power,2016-03-06 01:25:00,1913110809_SMA-SB-7000TL-US-22,0.1141
TAEFC1044741,ac_power,2016-03-06 01:30:00,1913110809_SMA-SB-7000TL-US-22,0.1011
TAEFC1044741,ac_power,2016-03-06 01:35:00,1913110809_SMA-SB-7000TL-US-22,0.0548
TAEFC1044741,ac_power,2016-03-06 01:40:00,1913110809_SMA-SB-7000TL-US-22,0.0149
TAEFC1044741,ac_power,2016-03-06 01:45:00,1913110809_SMA-SB-7000TL-US-22,0.0002
TAEFC1044741,ac_power,2016-03-06 01:50:00,1913110809_SMA-SB-7000TL-US-22,0.0
TAEFC1044741,ac_power,2016-03-06 14:25:00,1913110809_SMA-SB-7000TL-US-22,0.0
TAEFC1044741,ac_power,2016-03-06 14:30:00,1913110809_SMA-SB-7000TL-US-22,0.0
TAEFC1044741,ac_power,2016-03-06 14:35:00,1913110809_SMA-SB-7000TL-US-22,0.0
TAEFC1044741,ac_power,2016-03-06 14:40:00,1913110809_SMA-SB-7000TL-US-22,0.0288
TAEFC1044741,ac_power,2016-03-06 14:45:00,1913110809_SMA-SB-7000TL-US-22,0.0506
TAEFC1044741,ac_power,2016-03-06 14:50:00,1913110809_SMA-SB-7000TL-US-22,0.0981
TAEFC1044741,ac_power,2016-03-06 14:55:00,1913110809_SMA-SB-7000TL-US-22,0.1274
