site,meas_name,ts,sensor,meas_val_f
ZT162185000441C1203,ac_power,2018-11-07 23:15:00,064744-3N00-4514_TRIO-27.6-480,7.1087
ZT162185000441C1203,ac_power,2018-11-07 23:20:00,064744-3N00-4514_TRIO-27.6-480,6.698
ZT162185000441C1203,ac_power,2018-11-07 23:25:00,064744-3N00-4514_TRIO-27.6-480,6.1362
ZT162185000441C1203,ac_power,2018-11-07 23:30:00,064744-3N00-4514_TRIO-27.6-480,5.6203
ZT162185000441C1203,ac_power,2018-11-07 23:35:00,064744-3N00-4514_TRIO-27.6-480,5.0581
ZT162185000441C1203,ac_power,2018-11-07 23:40:00,064744-3N00-4514_TRIO-27.6-480,4.4671
ZT162185000441C1203,ac_power,2018-11-07 23:45:00,064744-3N00-4514_TRIO-27.6-480,3.868
ZT162185000441C1203,ac_power,2018-11-07 23:50:00,064744-3N00-4514_TRIO-27.6-480,3.2881
ZT162185000441C1203,ac_power,2018-11-07 23:55:00,064744-3N00-4514_TRIO-27.6-480,2.7089
ZT162185000441C1203,ac_power,2018-11-08 00:00:00,064744-3N00-4514_TRIO-27.6-480,2.1507
ZT162185000441C1203,ac_power,2018-11-08 00:05:00,064744-3N00-4514_TRIO-27.6-480,1.6811
ZT162185000441C1203,ac_power,2018-11-08 00:10:00,064744-3N00-4514_TRIO-27.6-480,1.3066
ZT162185000441C1203,ac_power,2018-11-08 00:15:00,064744-3N00-4514_TRIO-27.6-480,1.0587
ZT162185000441C1203,ac_power,2018-11-08 00:20:00,064744-3N00-4514_TRIO-27.6-480,0.8687
ZT162185000441C1203,ac_power,2018-11-08 00:25:00,064744-3N00-4514_TRIO-27.6-480,0.6868
ZT162185000441C1203,ac_power,2018-11-08 00:30:00,064744-3N00-4514_TRIO-27.6-480,0.5161
ZT162185000441C1203,ac_power,2018-11-08 00:35:00,064744-3N00-4514_TRIO-27.6-480,0.3518
ZT162185000441C1203,ac_power,2018-11-08 00:40:00,064744-3N00-4514_TRIO-27.6-480,0.1886
ZT162185000441C1203,ac_power,2018-11-08 00:45:00,064744-3N00-4514_TRIO-27.6-480,0.0465
ZT162185000441C1203,ac_power,2018-11-08 00:50:00,064744-3N00-4514_TRIO-27.6-480,0.0
ZT162185000441C1203,ac_power,2018-11-08 00:55:00,064744-3N00-4514_TRIO-27.6-480,0.0
ZT162185000441C1203,ac_power,2018-11-08 01:00:00,064744-3N00-4514_TRIO-27.6-480,0.0
ZT162185000441C1203,ac_power,2018-11-08 01:05:00,064744-3N00-4514_TRIO-27.6-480,0.0
ZT162185000441C1203,ac_power,2018-11-08 01:10:00,064744-3N00-4514_TRIO-27.6-480,0.0
ZT162185000441C1203,ac_power,2018-11-08 01:15:00,064744-3N00-4514_TRIO-27.6-480,0.0
ZT162185000441C1203,ac_power,2018-11-08 14:10:00,064744-3N00-4514_TRIO-27.6-480,0.0
ZT162185000441C1203,ac_power,2018-11-08 14:15:00,064744-3N00-4514_TRIO-27.6-480,0.0
ZT162185000441C1203,ac_power,2018-11-08 14:20:00,064744-3N00-4514_TRIO-27.6-480,0.0
ZT162185000441C1203,ac_power,2018-11-08 14:25:00,064744-3N00-4514_TRIO-27.6-480,0.0
ZT162185000441C1203,ac_power,2018-11-08 14:30:00,064744-3N00-4514_TRIO-27.6-480,0.0
ZT162185000441C1203,ac_power,2018-11-08 14:35:00,064744-3N00-4514_TRIO-27.6-480,0.0012
ZT162185000441C1203,ac_power,2018-11-08 14:40:00,064744-3N00-4514_TRIO-27.6-480,0.0775
ZT162185000441C1203,ac_power,2018-11-08 14:45:00,064744-3N00-4514_TRIO-27.6-480,0.183
ZT162185000441C1203,ac_power,2018-11-08 14:50:00,064744-3N00-4514_TRIO-27.6-480,0.2784
ZT162185000441C1203,ac_power,2018-11-08 14:55:00,064744-3N00-4514_TRIO-27.6-480,0.3981
ZT162185000441C1203,ac_power,2018-11-08 15:00:00,064744-3N00-4514_TRIO-27.6-480,0.5055
ZT162185000441C1203,ac_power,2018-11-08 15:05:00,064744-3N00-4514_TRIO-27.6-480,0.5894
ZT162185000441C1203,ac_power,2018-11-08 15:10:00,064744-3N00-4514_TRIO-27.6-480,0.7207
ZT162185000441C1203,ac_power,2018-11-08 15:15:00,064744-3N00-4514_TRIO-27.6-480,1.0036
ZT162185000441C1203,ac_power,2018-11-08 15:20:00,064744-3N00-4514_TRIO-27.6-480,1.2412
ZT162185000441C1203,ac_power,2018-11-08 15:25:00,064744-3N00-4514_TRIO-27.6-480,1.3744
ZT162185000441C1203,ac_power,2018-11-08 15:30:00,064744-3N00-4514_TRIO-27.6-480,1.6582
ZT162185000441C1203,ac_power,2018-11-08 15:35:00,064744-3N00-4514_TRIO-27.6-480,2.2056
ZT162185000441C1203,ac_power,2018-11-08 15:40:00,064744-3N00-4514_TRIO-27.6-480,2.7607
ZT162185000441C1203,ac_power,2018-11-08 15:45:00,064744-3N00-4514_TRIO-27.6-480,3.6219
ZT162185000441C1203,ac_power,2018-11-08 15:50:00,064744-3N00-4514_TRIO-27.6-480,4.0303
ZT162185000441C1203,ac_power,2018-11-08 15:55:00,064744-3N00-4514_TRIO-27.6-480,4.5504
ZT162185000441C1203,ac_power,2018-11-08 16:00:00,064744-3N00-4514_TRIO-27.6-480,6.1468
ZT162185000441C1203,ac_power,2018-11-08 16:05:00,064744-3N00-4514_TRIO-27.6-480,5.3377
ZT162185000441C1203,ac_power,2018-11-08 16:10:00,064744-3N00-4514_TRIO-27.6-480,6.3494
ZT162185000441C1203,ac_power,2018-11-08 16:15:00,064744-3N00-4514_TRIO-27.6-480,10.9467
ZT162185000441C1203,ac_power,2018-11-08 16:20:00,064744-3N00-4514_TRIO-27.6-480,13.2757
ZT162185000441C1203,ac_power,2018-11-08 16:25:00,064744-3N00-4514_TRIO-27.6-480,13.2507
ZT162185000441C1203,ac_power,2018-11-08 16:30:00,064744-3N00-4514_TRIO-27.6-480,14.0337
ZT162185000441C1203,ac_power,2018-11-08 16:35:00,064744-3N00-4514_TRIO-27.6-480,13.9409
ZT162185000441C1203,ac_power,2018-11-08 16:40:00,064744-3N00-4514_TRIO-27.6-480,14.0291
ZT162185000441C1203,ac_power,2018-11-08 16:45:00,064744-3N00-4514_TRIO-27.6-480,13.6587
ZT162185000441C1203,ac_power,2018-11-08 16:50:00,064744-3N00-4514_TRIO-27.6-480,12.9559
ZT162185000441C1203,ac_power,2018-11-08 16:55:00,064744-3N00-4514_TRIO-27.6-480,14.2655
ZT162185000441C1203,ac_power,2018-11-08 17:00:00,064744-3N00-4514_TRIO-27.6-480,14.4645
ZT162185000441C1203,ac_power,2018-11-08 17:05:00,064744-3N00-4514_TRIO-27.6-480,14.7855
ZT162185000441C1203,ac_power,2018-11-08 17:10:00,064744-3N00-4514_TRIO-27.6-480,15.4382
ZT162185000441C1203,ac_power,2018-11-08 17:15:00,064744-3N00-4514_TRIO-27.6-480,15.9264
ZT162185000441C1203,ac_power,2018-11-08 17:20:00,064744-3N00-4514_TRIO-27.6-480,16.0262
ZT162185000441C1203,ac_power,2018-11-08 17:25:00,064744-3N00-4514_TRIO-27.6-480,16.4468
